Imagen,PCM,Partido,Partido,Tiempo en el cargo,Inicio,Fin,Gobierno,Gobierno
,Javier Pérez de Cuéllar de la Guerra,,Unión por el Perú,8 meses y 6 días,22 de noviembre de 2000,28 de julio del 2001,,Valentín Paniagua
,Roberto Dañino Zapata,,Independiente,11 meses y 13 días,28 de julio de 2001,11 de julio de 2002,,Alejandro Toledo
,Luis Solari de la Fuente,,Perú Posible,11 meses y 2 días,12 de julio de 2002,23 de junio de 2003,,Alejandro Toledo
,Beatriz Merino Lucero,,Independiente,6 meses y 19 días,23 de junio de 2003,12 de diciembre de 2003,,Alejandro Toledo
,Carlos Ferrero Costa,,Perú Posible,1 año y 8 meses,15 de diciembre de 2003,15 de agosto de 2005,,Alejandro Toledo
,Pedro Pablo Kuczynski Godard,,Independiente,11 meses y 12 días,16 de agosto de 2005,28 de julio de 2006,,Alejandro Toledo
,Jorge del Castillo Gálvez,,Partido Aprista Peruano,"2 años, 2 meses y 12 días",28 de julio de 2006,10 de octubre de 2008,,Alan García Pérez
,Yehude Simon Munaro,,Partido Humanista Peruano,8 meses y 27 días,14 de octubre de 2008,11 de julio de 2009,,Alan García Pérez
,Javier Velásquez Quesquén,,Partido Aprista Peruano,"1 año, 2 meses y 2 días",11 de julio de 2009,13 de septiembre de 2010,,Alan García Pérez
,José Antonio Chang Escobedo,,Independiente,6 meses y 4 días,14 de septiembre de 2010,18 de marzo de 2011,,Alan García Pérez
,Rosario Fernández Figueroa,,Independiente,4 meses y 9 días,19 de marzo de 2011,28 de julio de 2011,,Alan García Pérez
,Salomón Lerner Ghitis,,Independiente,4 meses y 12 días,28 de julio de 2011,10 de diciembre de 2011,,Ollanta Humala
,Óscar Valdés Dancuart,,Independiente,7 meses y 13 días,10 de diciembre de 2011,23 de julio de 2012,,Ollanta Humala
,Juan Jiménez Mayor,,Independiente,"1 año, 3 meses y 6 días",23 de julio de 2012,29 de octubre de 2013,,Ollanta Humala
,César Villanueva Arévalo,,Independiente,3 meses y 24 días,31 de octubre de 2013,24 de febrero de 2014,,Ollanta Humala
,René Cornejo Díaz,,Independiente,4 meses y 28 días,24 de febrero de 2014,22 de julio de 2014,,Ollanta Humala
,Ana Jara Velásquez,,Partido Nacionalista Peruano,8 meses y 11 días,22 de julio de 2014,2 de abril de 2015,,Ollanta Humala
,Pedro Cateriano Bellido,,Independiente,"1 año, 3 meses y 26 días",2 de abril de 2015,28 de julio de 2016,,Ollanta Humala
,Fernando Zavala Lombardi,,Independiente,"1 año, 1 mes, y 17 días",28 de julio de 2016,15 de septiembre de 2017,,Pedro Pablo Kuczynski
,Mercedes Aráoz Fernández,,Independiente,6 meses y 16 días,17 de septiembre de 2017,23 de marzo de 2018,,Pedro Pablo Kuczynski
,Mercedes Aráoz Fernández,,Independiente,6 meses y 16 días,23 de marzo de 2018,2 de abril de 2018,,Martín Vizcarra
,César Villanueva Arévalo,,Alianza para el Progreso,11 meses y 6 días,2 de abril de 2018,8 de marzo de 2019,,Martín Vizcarra
,Salvador del Solar Labarthe,,Independiente,6 meses y 19 días,11 de marzo de 2019,30 de septiembre de 2019,,Martín Vizcarra
,Vicente Zeballos Salinas,,Independiente,9 meses y 15 días,30 de septiembre de 2019,15 de julio de 2020,,Martín Vizcarra
,Pedro Cateriano Bellido,,Independiente,20 días,15 de julio de 2020,6 de agosto de 2020,,Martín Vizcarra
,Walter Martos Ruiz,,Militar,3 meses y 4 días,6 de agosto de 2020,10 de noviembre de 2020,,Martín Vizcarra
,Ántero Flores-Aráoz Esparza,,Independiente,6 días,11 de noviembre de 2020 ​,17 de noviembre de 2020,,Manuel Merino
,Violeta Bermúdez Valdivia,,Independiente,8 meses y 7 días,18 de noviembre de 2020 ​,28 de julio de 2021,,Francisco Sagasti
,Guido Bellido Ugarte,,Perú Libre,1 mes y 20 días,29 de julio de 2021 ​,En el cargo,,Pedro Castillo
