Nombre,GrupoParlamentario
Acuña Peralta María Grimaneza,ALIANZA PARA EL PROGRESO
Acuña Peralta Segundo Héctor,ALIANZA PARA EL PROGRESO
Agüero Gutiérrez María Antonieta,PERÚ LIBRE
Aguinaga Recuenco Alejandro Aurelio,FUERZA POPULAR
Alcarraz Aguero Yorel Kira,SOMOS PERÚ - PARTIDO MORADO
Alegría García Arturo,FUERZA POPULAR
Alva Prieto María del Carmen,ACCIÓN POPULAR
Alva Rojas Carlos Enrique,ACCIÓN POPULAR
Amuruz Dulanto Yessica Rosselli,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL
Anderson Ramírez Carlos Antonio,PODEMOS PERÚ
Aragón Carreño Luis Ángel,ACCIÓN POPULAR
Arriola Tueros José Alberto,ACCIÓN POPULAR
Azurín Loayza Alfredo,SOMOS PERÚ - PARTIDO MORADO
Balcázar Zelada José María,PERÚ LIBRE
Barbarán Reyes Rosangella Andrea,FUERZA POPULAR
Bazán Calderón Diego Alonso Fernando,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL
Bazán Narro Sigrid Tesoro,JUNTOS POR EL PERÚ
Bellido Ugarte Guido,PERÚ LIBRE
Bermejo Rojas Guillermo,PERÚ LIBRE
Burgos Oliveros Juan Bartolomé,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL
Bustamante Donayre Ernesto,FUERZA POPULAR
Calle Lobatón Digna,PODEMOS PERÚ
Camones Soriano Lady Mercedes,ALIANZA PARA EL PROGRESO
Castillo Rivas Eduardo Enrique,FUERZA POPULAR
Cavero Alva Alejandro Enrique,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL
Cerrón Rojas Waldemar José,PERÚ LIBRE
Chacón Trujillo Nilza Merly,FUERZA POPULAR
Chávez Chino Betssy Betzabet,PERÚ LIBRE
Chiabra León Roberto Enrique,ALIANZA PARA EL PROGRESO
Chirinos Venegas Patricia Rosa,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL
Ciccia Vásquez Miguel Angel,RENOVACIÓN POPULAR
Coayla Juárez Jorge Samuel,PERÚ LIBRE
Cordero Jon Tay Luis Gustavo,FUERZA POPULAR
Cordero Jon Tay María del Pilar,FUERZA POPULAR
Córdova Lobatón María Jessica,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL
Cortez Aguirre Isabel,JUNTOS POR EL PERÚ
Cruz Mamani Flavio,PERÚ LIBRE
Cueto Aservi José Ernesto,RENOVACIÓN POPULAR
Cutipa Ccama Víctor Raúl,PERÚ LIBRE
Dávila Atanacio Pasión Neomias,PERÚ LIBRE
Díaz Monago Freddy Ronald,ALIANZA PARA EL PROGRESO
Doroteo Carbajo Raúl Felipe,ACCIÓN POPULAR
Echaíz de Núñez Izaga Gladys Margot,ALIANZA PARA EL PROGRESO
Echeverría Rodríguez Hamlet,PERÚ LIBRE
Elera García Wilmar Alberto,SOMOS PERÚ - PARTIDO MORADO
Elías Ávalos José Luis,PODEMOS PERÚ
Espinoza Vargas Jhaec Darwin,ACCION POPULAR
Flores Ancachi Jorge Luis,ACCION POPULAR
Flores Ramírez Alex Randu,PERÚ LIBRE
Flores Ruíz Víctor Seferino,FUERZA POPULAR
García Correa Idelso Manuel,ALIANZA PARA EL PROGRESO
Gonza Castillo Americo,PERÚ LIBRE
Gonzales Delgado Diana Carolina,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL
Guerra García Campos Hernando,FUERZA POPULAR
Gutiérrez Ticona Paul Silvio,PERÚ LIBRE
Herrera Mamani Fernando Mario,PERÚ LIBRE
Herrera Medina Noelia Rossvith,RENOVACIÓN POPULAR
Huamán Coronado Raúl,FUERZA POPULAR
Infantes Castañeda Mery Eliana,FUERZA POPULAR
Jáuregui Martínez de Aguayo María de los Milagros Jackeline,RENOVACIÓN POPULAR
Jeri Oré José Enrique,SOMOS PERÚ - PARTIDO MORADO
Jiménez Heredia David Julio,FUERZA POPULAR
Juárez Calle Heidy Lisbeth,ALIANZA PARA EL PROGRESO
Juárez Gallegos Carmen Patricia,FUERZA POPULAR
Julon Irigoin Elva Edhit,ALIANZA PARA EL PROGRESO
Kamiche Morante Luis Roberto,PERÚ LIBRE
Lizarzaburu Lizarzaburu Juan Carlos Martin,FUERZA POPULAR
López Morales Jeny Luz,FUERZA POPULAR
López Ureña Ilich Fredy,ACCION POPULAR
Luna Gálvez José León,PODEMOS PERÚ
Luque Ibarra Ruth,JUNTOS POR EL PERÚ
Málaga Trillo George Edward,SOMOS PERÚ - PARTIDO MORADO
Marticorena Mendoza Jorge Alfonso,PERÚ LIBRE
Martínez Talavera Pedro Edwin,ACCIÓN POPULAR
Medina Hermosilla Elizabeth Sara,PERÚ LIBRE
Medina Minaya Esdras Ricardo,RENOVACIÓN POPULAR
Montalvo Cubas Segundo Toribio,PERÚ LIBRE
Monteza Facho Silvia María,ACCION POPULAR
Montoya Manrique Jorge Carlos,RENOVACIÓN POPULAR
Morante Figari Jorge Alberto,FUERZA POPULAR
Mori Celis Juan Carlos,ACCIÓN POPULAR
Moyano Delgado Martha Lupe,FUERZA POPULAR
Muñante Barrios Alejandro,RENOVACIÓN POPULAR
Obando Morgan Auristela Ana,FUERZA POPULAR
Olivos Martínez Vivian,FUERZA POPULAR
Pablo Medina Flor Aidee,SOMOS PERÚ - PARTIDO MORADO
Padilla Romero Javier Rommel,RENOVACIÓN POPULAR
Palacios Huáman Margot,PERÚ LIBRE
Paredes Castro Francis Jhasmina,PERÚ LIBRE
Paredes Fonseca Karol Ivett,ACCIÓN POPULAR
Paredes Gonzales Alex Antonio,PERÚ LIBRE
Paredes Piqué Susel Ana María,SOMOS PERÚ - PARTIDO MORADO
Pariona Sinche Alfredo,PERÚ LIBRE
Picón Quedo Luis Raúl,ALIANZA PARA EL PROGRESO
Portalatino Ávalos Kelly Roxana,PERÚ LIBRE
Portero López Hilda Marleny,ACCION POPULAR
Quiroz Barboza Segundo Teodomiro,PERÚ LIBRE
Quispe Mamani Wilson Rusbel,PERÚ LIBRE
Quito Sarmiento Bernardo Jaime,PERÚ LIBRE
Ramírez García Tania Estefany,FUERZA POPULAR
Revilla Villanueva César Manuel,FUERZA POPULAR
Reyes Cam Abel Augusto,PERÚ LIBRE
Reymundo Mercado Edgard Cornelio,JUNTOS POR EL PERÚ
Rivas Chacara Janet Milagros,PERÚ LIBRE
Robles Araujo Silvana Emperatriz,PERÚ LIBRE
Ruíz Rodríguez Magaly Rosmery,ALIANZA PARA EL PROGRESO
Saavedra Casternoque Hitler,SOMOS PERÚ - PARTIDO MORADO
Salhuana Cavides Eduardo,ALIANZA PARA EL PROGRESO
Sánchez Palomino Roberto Helbert,JUNTOS POR EL PERÚ
Soto Palacios Wilson,ACCION POPULAR
Soto Reyes Alejandro,ALIANZA PARA EL PROGRESO
Tacuri Valdivia Germán Adolfo,PERÚ LIBRE
Taipe Coronado María Elizabeth,PERÚ LIBRE
Tello Montes Nivardo Edgar,PERÚ LIBRE
Torres Salinas Rosio,ALIANZA PARA EL PROGRESO
Trigozo Reátegui Cheryl,ALIANZA PARA EL PROGRESO
Tudela Gutiérrez Adriana Josefina,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL
Ugarte Mamani Jhakeline Katy,PERÚ LIBRE
Valer Pinto Héctor,SOMOS PERÚ - PARTIDO MORADO
Varas Meléndez Elías Marcial,PERÚ LIBRE
Vásquez Vela Lucinda,PERÚ LIBRE
Ventura Angel Héctor José,FUERZA POPULAR
Vergara Mendoza Elvis Hernán,ACCION POPULAR
Williams Zapata José Daniel,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL
Wong Pujada Enrique,PODEMOS PERÚ
Yarrow Lumbreras Norma Martina,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL
Zea Choquechambi Oscar,PERÚ LIBRE
Zeballos Aponte Jorge Arturo,RENOVACIÓN POPULAR
Zeballos Madariaga Carlos Javier,ACCION POPULAR
Zeta Chunga Cruz María,FUERZA POPULAR
